ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Methods	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Databases	Interaction Identifiers	Confidence Value	Presence In Other Species	Gene Name Interactor A	Gene Name Interactor B
entrez gene:2887	entrez gene:3815	uniprotkb:GRB10_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Jahn T (2002)	pubmed:11809791	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.79		GRB10	KIT
entrez gene:2214	entrez gene:952	uniprotkb:FCG3A_HUMAN	uniprotkb:CD38_HUMAN	-	-	MI:0492(in vitro)|FRET|MI:0055(fluorescent resonance energy transfer)	Deaglio S (2002)|Rual JF (2005)	pubmed:11895784|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05	-	0.85		FCGR3A	CD38
entrez gene:1399	entrez gene:3815	uniprotkb:CRKL_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0493(in vivo)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Sattler M (1997)|van Dijk TB (2000)	pubmed:9092574|pubmed:11071635	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.88		CRKL	KIT
entrez gene:1796	entrez gene:3815	uniprotkb:DOK1_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Liang X (2002)	pubmed:11825908	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.79		DOK1	KIT
entrez gene:5296	entrez gene:3815	uniprotkb:P85B_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0053(fluorescence polarization spectroscopy)	Herbst R (1995)|De Sepulveda P (1999)|Leung KK (2014)	pubmed:7537096|pubmed:10022833|pubmed:24728074	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0462(bind)|MI:0471(mint)|MI:0469(intact)	-	0.89		PIK3R2	KIT
entrez gene:8651	entrez gene:3815	uniprotkb:SOCS1_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	De Sepulveda P (1999)	pubmed:10022833	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0462(bind)|MI:1014(string)	-	0.77		SOCS1	KIT
entrez gene:10750	entrez gene:3815	uniprotkb:GRAP_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)	Feng GS (1996)|Lim J (2006)	pubmed:8647802|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06	-	0.86		GRAP	KIT
entrez gene:9402	entrez gene:3815	uniprotkb:GRAP2_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0053(fluorescence polarization spectroscopy)	Liu SK (1998)|Leung KK (2014)	pubmed:9872323|pubmed:24728074	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|MI:0469(intact)|MI:1014(string)	-	0.89	taxid:10090(Mus musculus (Mouse))	GRAP2	KIT
entrez gene:10019	entrez gene:3815	uniprotkb:SH2B3_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0053(fluorescence polarization spectroscopy)	Takaki S (2002)|Leung KK (2014)	pubmed:11805142|pubmed:24728074	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|MI:0469(intact)|MI:1014(string)	-	0.89	taxid:10090(Mus musculus (Mouse))	SH2B3	KIT
entrez gene:975	entrez gene:3815	uniprotkb:CD81_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Anzai N (2002)	pubmed:12036870	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.73		CD81	KIT
entrez gene:8777	entrez gene:3815	uniprotkb:MPDZ_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0018(two hybrid)|Reconstituted Complex|MI:0096(pull down)	Mancini A (2000)	pubmed:11018522	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.78		MPDZ	KIT
entrez gene:161742	entrez gene:3815	uniprotkb:SPRE1_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)	Kato R (2003)	pubmed:12646235	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.59	taxid:10090(Mus musculus (Mouse))	SPRED1	KIT
entrez gene:3932	entrez gene:952	uniprotkb:LCK_HUMAN	uniprotkb:CD38_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0004(affinity chromatography technology)	Rual JF (2005)|Cho YS (2000)|Mu??oz P (2003)	pubmed:16189514|pubmed:10636863|pubmed:14523017	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|rual05|mips|biogrid|MI:1014(string)	-	0.78		LCK	CD38
entrez gene:26228	entrez gene:3815	uniprotkb:STAP1_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|MI:0053(fluorescence polarization spectroscopy)	Masuhara M (2000)|Leung KK (2014)	pubmed:10679268|pubmed:24728074	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|MI:0469(intact)	-	0.94	taxid:10090(Mus musculus (Mouse))	STAP1	KIT
entrez gene:10603	entrez gene:3815	uniprotkb:SH2B2_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0492(in vitro)	Iseki M (2000)	pubmed:10872802	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		SH2B2	KIT
entrez gene:200734	entrez gene:3815	uniprotkb:SPRE2_HUMAN	uniprotkb:KIT_HUMAN	-	-	MI:0493(in vivo)	Nobuhisa I (2004)|Kato R (2003)	pubmed:14981116|pubmed:12646235	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|MI:1014(string)	-	0.68	taxid:10090(Mus musculus (Mouse))	SPRED2	KIT
entrez gene:2268	entrez gene:2268	uniprotkb:FGR_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Ruzzene M (1994)	pubmed:7515063	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.55		FGR	FGR
entrez gene:867	entrez gene:2268	uniprotkb:CBL_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Melander F (2003)|Marcilla A (1995)	pubmed:12435267|pubmed:7721825	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.83		CBL	FGR
entrez gene:2268	entrez gene:6714	uniprotkb:FGR_HUMAN	uniprotkb:SRC_HUMAN	-	-	MI:0492(in vitro)	Yamamoto Y (2002)|Mandine E (2002)|MacAuley A (1993)|Ruzzene M (1997)	pubmed:12468645|pubmed:12387813|pubmed:7678701|pubmed:9208935	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|MI:1014(string)	-	0.63		FGR	SRC
entrez gene:7454	entrez gene:2268	uniprotkb:WASP_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0096(pull down)|MI:0004(affinity chromatography technology)	Finan PM (1996)|Snapper SB (0)|Rivero-Lezcano OM (1995)|Banin S (1996)	pubmed:8824280|pubmed:10358777|pubmed:7565724|pubmed:8805332	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|MI:0471(mint)|i2d|ortho|MI:0469(intact)	-	0.96	taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	WAS	FGR
entrez gene:100133941	entrez gene:2268	uniprotkb:CD24_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Zarn JA (1996)	pubmed:8753773	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.73		CD24	FGR
entrez gene:6850	entrez gene:2268	uniprotkb:KSYK_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	Vines CM (2001)|Moon KD (2004)	pubmed:11672534|pubmed:15536084	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|MI:0471(mint)|i2d|MI:0469(intact)|MI:1014(string)	-	0.87		SYK	FGR
entrez gene:5747	entrez gene:2268	uniprotkb:FAK1_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Relou IA (2003)	pubmed:12387730	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0470(kegg)|MI:1014(string)	-	0.73		PTK2	FGR
entrez gene:5175	entrez gene:952	uniprotkb:PECA1_HUMAN	uniprotkb:CD38_HUMAN	-	-	MI:0492(in vitro)	Deaglio S (1998)	pubmed:9551996	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		PECAM1	CD38
entrez gene:1601	entrez gene:2268	uniprotkb:DAB2_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	Zhou J (2002)|Lim J (2006)	pubmed:12473651|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06|MI:1014(string)	-	0.85		DAB2	FGR
entrez gene:1232	entrez gene:2268	uniprotkb:CCR3_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	El-Shazly A (1999)	pubmed:10527858	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:0470(kegg)|MI:1014(string)	-	0.73		CCR3	FGR
entrez gene:2268	entrez gene:3059	uniprotkb:FGR_HUMAN	uniprotkb:HCLS1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)	Brunati AM (1999)	pubmed:10066823	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|ortho|MI:1014(string)	-	0.83	taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	FGR	HCLS1
entrez gene:6504	entrez gene:2268	uniprotkb:SLAF1_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Mikhalap SV (1999)	pubmed:10229804	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.74		SLAMF1	FGR
entrez gene:3635	entrez gene:2268	uniprotkb:SHIP1_HUMAN	uniprotkb:FGR_HUMAN	-	-	MI:0493(in vivo)	Mikhalap SV (1999)	pubmed:10229804	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)	-	0.52		INPP5D	FGR
entrez gene:10969	entrez gene:2248	uniprotkb:EBP2_HUMAN	uniprotkb:FGF3_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Reimers K (2001)	pubmed:11438656	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.79		EBNA1BP2	FGF3
entrez gene:54567	entrez gene:4855	uniprotkb:DLL4_HUMAN	uniprotkb:NOTC4_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Shawber CJ (2003)	pubmed:12814948	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.55		DLL4	NOTCH4
entrez gene:9794	entrez gene:4855	uniprotkb:MAML1_HUMAN	uniprotkb:NOTC4_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Reconstituted Complex|MI:0096(pull down)	Wu L (2000)|Wu G (2001)	pubmed:11101851|pubmed:11585921	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.88		MAML1	NOTCH4
entrez gene:55294	entrez gene:4855	uniprotkb:FBXW7_HUMAN	uniprotkb:NOTC4_HUMAN	-	-	MI:0493(in vivo)	Wu G (2001)	pubmed:11585921	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.52		FBXW7	NOTCH4
entrez gene:3630	entrez gene:4856	uniprotkb:INS_HUMAN	uniprotkb:NOV_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	Burren CP (1999)|Rual JF (2005)	pubmed:10084601|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05	-	0.85		INS	CCN3
entrez gene:920	entrez gene:952	uniprotkb:CD4_HUMAN	uniprotkb:CD38_HUMAN	-	-	MI:0492(in vitro)	Dianzani U (1995)|Rual JF (2005)	pubmed:7539755|pubmed:16189514	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|rual05|MI:1014(string)	-	0.62		CD4	CD38
entrez gene:4851	entrez gene:4856	uniprotkb:NOTC1_HUMAN	uniprotkb:NOV_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Sakamoto K (2002)|Lim J (2006)	pubmed:12050162|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06	-	0.88		NOTCH1	CCN3
entrez gene:28514	entrez gene:4856	uniprotkb:DLL1_HUMAN	uniprotkb:NOV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Sakamoto K (2002)	pubmed:12050162	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.55		DLL1	CCN3
entrez gene:6275	entrez gene:4856	uniprotkb:S10A4_HUMAN	uniprotkb:NOV_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|MI:0096(pull down)	Li CL (2002)|Lombet A (2003)	pubmed:12147716|pubmed:14606958	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|biogrid	-	0.81		S100A4	CCN3
entrez gene:4772	entrez gene:5292	uniprotkb:NFAC1_HUMAN	uniprotkb:PIM1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Biochemical Activity|Affinity Capture-Western|MI:0415(enzymatic study)|MI:0004(affinity chromatography technology)	Rainio EM (2002)	pubmed:11823475	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|MI:1014(string)	-	0.77		NFATC1	PIM1
entrez gene:5800	entrez gene:5292	uniprotkb:PTPRO_HUMAN	uniprotkb:PIM1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Wang Z (2001)	pubmed:11368509	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.55		PTPRO	PIM1
entrez gene:27044	entrez gene:5292	uniprotkb:SND1_HUMAN	uniprotkb:PIM1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Leverson JD (1998)	pubmed:9809063	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.77		SND1	PIM1
entrez gene:11335	entrez gene:5292	uniprotkb:CBX3_HUMAN	uniprotkb:PIM1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|Biochemical Activity|Reconstituted Complex|Affinity Capture-Western|MI:0415(enzymatic study)|MI:0004(affinity chromatography technology)|MI:0096(pull down)	Koike N (2000)|Lim J (2006)	pubmed:10664448|pubmed:16713569	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|lim06	-	0.89		CBX3	PIM1
entrez gene:10951	entrez gene:5292	uniprotkb:CBX1_HUMAN	uniprotkb:PIM1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Bhattacharya N (2002)	pubmed:12111331	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.74		CBX1	PIM1
entrez gene:79840	entrez gene:79840	uniprotkb:NHEJ1_HUMAN	uniprotkb:NHEJ1_HUMAN	-	-	MI:0493(in vivo)|MI:0019(coimmunoprecipitation)|MI:0020(transmission electron microscopy)	Ahnesorg P (2006)|Ropars V (2011)	pubmed:16439205|pubmed:21768349	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0469(intact)|i2d	-	0.83		NHEJ1	NHEJ1
entrez gene:7855	entrez gene:7474	uniprotkb:FZD5_HUMAN	uniprotkb:WNT5A_HUMAN	-	-	MI:0493(in vivo)|MI:0428(imaging technique)	He X (1997)|Chen TC (2014)	pubmed:9054360|pubmed:25241761	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|MI:0469(intact)|biogrid	-	0.65		FZD5	WNT5A
entrez gene:735	entrez gene:966	uniprotkb:CO9_HUMAN	uniprotkb:CD59_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	Chang CP (1994)|Ninomiya H (1992)	pubmed:7523406|pubmed:1377690	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.85		C9	CD59
entrez gene:4920	entrez gene:7474	uniprotkb:ROR2_HUMAN	uniprotkb:WNT5A_HUMAN	-	-	MI:0492(in vitro)	Oishi I (2003)	pubmed:12839624	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.59	taxid:10090(Mus musculus (Mouse))	ROR2	WNT5A
entrez gene:8321	entrez gene:7474	uniprotkb:FZD1_HUMAN	uniprotkb:WNT5A_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Gazit A (1999)	pubmed:10557084	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|mips	-	0.73		FZD1	WNT5A
entrez gene:2665	entrez gene:4218	uniprotkb:GDIB_HUMAN	uniprotkb:RAB8A_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	Shisheva A (1999)|Rual JF (2005)|Wan C (2015)|Steger M (2016)|Zhang B (2015)	pubmed:10512627|pubmed:16189514|pubmed:26344197|pubmed:26824392|pubmed:25860027	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|ortho|rual05|MI:0469(intact)	-	0.95	taxid:4932(Saccharomyces cerevisiae (Baker's yeast))	GDI2	RAB8A
entrez gene:10133	entrez gene:4218	uniprotkb:OPTN_HUMAN	uniprotkb:RAB8A_HUMAN	-	-	MI:0018(two hybrid)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0809(bimolecular fluorescence complementation)|MI:0663(confocal microscopy)	Hattula K (2000)|Rual JF (2005)|Park B (2010)|Nagabhushana A (2010)|Ying H (2010)|Sirohi K (2013)|Chi ZL (2010)|Vaibhava V (2012)	pubmed:11137014|pubmed:16189514|pubmed:20634958|pubmed:20085643|pubmed:20161783|pubmed:23357852|pubmed:20388642|pubmed:22854040	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|homomint|i2d|rual05|MI:0462(bind)|MI:0469(intact)	-	0.97	taxid:null(Canis familiaris (Dog))	OPTN	RAB8A
entrez gene:5871	entrez gene:4218	uniprotkb:M4K2_HUMAN	uniprotkb:RAB8A_HUMAN	-	-	MI:0493(in vivo)|MI:0018(two hybrid)|Affinity Capture-Western|Co-fractionation|MI:0004(affinity chromatography technology)	Ren M (1996)	pubmed:8643544	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.77		MAP4K2	RAB8A
entrez gene:9501	entrez gene:4218	uniprotkb:RPH3L_HUMAN	uniprotkb:RAB8A_HUMAN	-	-	MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Fukuda M (2003)	pubmed:12578829	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid	-	0.73		RPH3AL	RAB8A
entrez gene:731	entrez gene:966	uniprotkb:CO8A_HUMAN	uniprotkb:CD59_HUMAN	-	-	MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)	Lockert DH (1995)	pubmed:7544344	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.75		C8A	CD59
entrez gene:94121	entrez gene:4218	uniprotkb:SYTL4_HUMAN	uniprotkb:RAB8A_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	Kuroda TS (2001)|Fukuda M (2003)|Fukuda M (2002)|Rual JF (2005)|Hampson A (2013)|van Breevoort D (2014)|Vogel GF (2015)|Steger M (2016)	pubmed:11773082|pubmed:12590134|pubmed:12176990|pubmed:16189514|pubmed:23140275|pubmed:24700782|pubmed:26553929|pubmed:26824392	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d|rual05|MI:0469(intact)	-	0.96	taxid:10090(Mus musculus (Mouse))	SYTL4	RAB8A
entrez gene:9699	entrez gene:4218	uniprotkb:RIMS2_HUMAN	uniprotkb:RAB8A_HUMAN	-	-	MI:0492(in vitro)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Fukuda M (2003)	pubmed:12578829	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.8	taxid:10090(Mus musculus (Mouse))	RIMS2	RAB8A
entrez gene:22895	entrez gene:4218	uniprotkb:RP3A_HUMAN	uniprotkb:RAB8A_HUMAN	-	-	MI:0492(in vitro)|Affinity Capture-Western|MI:0004(affinity chromatography technology)	Fukuda M (2003)|Huttlin EL (2017)	pubmed:12578829|pubmed:28514442	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.89	taxid:10090(Mus musculus (Mouse))	RPH3A	RAB8A
entrez gene:2321	entrez gene:2321	uniprotkb:VGFR1_HUMAN	uniprotkb:VGFR1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)	Yu Y (2001)	pubmed:11513746	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d	-	0.55		FLT1	FLT1
entrez gene:3791	entrez gene:2321	uniprotkb:VGFR2_HUMAN	uniprotkb:VGFR1_HUMAN	-	-	MI:0493(in vivo)|Biochemical Activity|MI:0415(enzymatic study)|MI:0004(affinity chromatography technology)	Sato Y (2000)|Autiero M (2003)|Raikwar NS (2014)	pubmed:10865839|pubmed:12796773|pubmed:25387128	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.85		KDR	FLT1
entrez gene:7422	entrez gene:2321	uniprotkb:VEGFA_HUMAN	uniprotkb:VGFR1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0114(x-ray crystallography)|MI:0019(coimmunoprecipitation)|MI:0254(genetic interference)|MI:0096(pull down)|MI:0030(cross-linking study)|MI:0405(competition binding)|MI:0411(enzyme linked immunosorbent assay)|MI:0892(solid phase assay)|MI:0004(affinity chromatography technology)	Keyt BA (1996)|Ambati BK (2006)|Wiesmann C (1997)|Starovasnik MA (1999)|Keyt BA (1996)|Allain B (2011)|de Vries C (1992)|Mitola S (2010)|Goyal A (2011)|Huttlin EL (2017)	pubmed:8621427|pubmed:17051153|pubmed:9393862|pubmed:10543948|pubmed:8631822|pubmed:21939755|pubmed:1312256|pubmed:20660291|pubmed:21596751|pubmed:28514442	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|MI:0469(intact)|MI:0465(dip)|i2d|MI:0462(bind)|biogrid|MI:0470(kegg)|MI:1014(string)	-	0.9		VEGFA	FLT1
entrez gene:5336	entrez gene:2321	uniprotkb:PLCG2_HUMAN	uniprotkb:VGFR1_HUMAN	-	-	MI:0492(in vitro)|MI:0018(two hybrid)	Cunningham SA (1997)	pubmed:9398617	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|i2d|MI:1014(string)	-	0.65		PLCG2	FLT1
entrez gene:6464	entrez gene:2321	uniprotkb:SHC1_HUMAN	uniprotkb:VGFR1_HUMAN	-	-	MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)	Warner AJ (2000)	pubmed:10749680	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	-	MI:0468(hprd)|biogrid|i2d	-	0.67		SHC1	FLT1
